pub_date,title,venue,excerpt,citation,url_slug,paper_url,slides_url,category,bibtex_url
2002-12-28,Evaluation of a well-posed perfectly matched layer for computational acoustics,"Hyperbolic Problems: Theory, Numerics, Applications, Proceedings of the Ninth International Conference on Hyperbolic Problems",,"D. Appelö and G. Kreiss. In E. Tadmor and T. Y. Hou, editors, Hyperbolic Problems: Theory, Numerics, Applications, pages 285-294. Springer Verlag, 2002.",evaluation-wellposed-pml-acoustics,,,conferences,
2017-12-26,An energy based discontinuous Galerkin method for acoustic-elastic waves,Waves 2017,,"D. Appelö and S. Wang. Extended abstract, Waves 2017.",energy-based-dg-acoustic-elastic-waves2017,,,abstracts,
2017-12-25,An energy based discontinuous Galerkin method for Hamiltonian systems,Waves 2017,,"D. Appelö, T. Hagstrom and A. Semenova. Extended abstract, Waves 2017.",energy-based-dg-hamiltonian,,,abstracts,
2017-12-24,Sobolev-dG: A class of dG methods with tame CFL numbers,Waves 2017,,"D. Appelö, T. Hagstrom and A. Kornelus. Extended abstract, Waves 2017.",sobolev-dg-tame-cfl,,,abstracts,
2015-12-25,A new discontinuous Galerkin formulation for wave equations in second order form,Waves 2015,,"D. Appelö and T. Hagstrom. Extended abstract, Waves 2015.",new-dg-formulation-waves2015,,,abstracts,
2015-12-24,Application of the entropy viscosity method to Hermite methods for shock problems,Waves 2015,,"A. Kornelus and D. Appelö. Extended abstract, Waves 2015.",entropy-viscosity-hermite-shocks,,,abstracts,
2011-12-25,Hermite methods for hyperbolic-parabolic systems,"Waves 2011, Vancouver",,"T. Hagstrom, D. Appelö and C. Y. Jang. In Waves 2011, Vancouver, Canada, 2011.",hermite-hyperbolic-parabolic-waves2011,,,abstracts,
2007-12-25,A stable finite difference method for the elastic wave equation on complex domains with free surface boundary conditions,"Proceedings of Waves 2007, Reading",,"D. Appelö, S. Nilsson, A. N. Petersson and B. Sjögreen. In Proceedings of Waves 2007, Reading, UK, 2007.",stable-fd-elastic-wave-waves2007,,,abstracts,
2005-12-28,A new PML for the simulation of elastic waves in anisotropic media,"The 7th International Conference on Mathematical and Numerical Aspects of Wave Propagation, Brown University",,"D. Appelö and G. Kreiss. In The 7th Int. Conf. on Math. and Num. Aspects of Wave Propagation, Brown University, 2005.",new-pml-anisotropic-elastic-waves,,,abstracts,
2003-12-28,Discretely nonreflecting boundary conditions for higher order centered schemes for wave equations,"Mathematical and Numerical Aspects of Wave Propagation, Proceedings Waves 2003",,"D. Appelö and G. Kreiss. In Cohen et al., editor, Mathematical and Numerical Aspects of Wave Propagation, Proceedings Waves 2003, pages 125-130. Springer Verlag, 2003.",discretely-nonreflecting-bc-waves2003,,,abstracts,
2024-12-28,Deterministic and Bayesian characterization of quantum computing devices,arXiv:2306.13747,,"Z. Peng, D. Appelö, N. A. Petersson, M. Motamed, F. Garcia and Y. Cho. arXiv:2306.13747, 2024.",deterministic-bayesian-quantum-characterization,https://arxiv.org/abs/2306.13747,,preprints,
2005-12-27,Absorbing layers and non-reflecting boundary conditions for wave propagation problems,"PhD thesis, Royal Institute of Technology",,"D. Appelö. PhD thesis, Royal Institute of Technology, October 2005.",phd-thesis-absorbing-layers,,,theses,
2003-12-27,Non-reflecting boundary conditions for wave propagation problems,"Licenciate thesis, Royal Institute of Technology",,"D. Appelö. Licenciate thesis, Royal Institute of Technology, 2003.",licentiate-thesis-nonreflecting-bc,,,theses,
2000-12-28,PML-methods for the linearized Euler equations,"Master's thesis, Royal Institute of Technology",,"D. Appelö. Master's thesis, Royal Institute of Technology, 2000.",masters-thesis-pml-euler,,,theses,
